,Name,ingredient,new_ingredient
0,도라에몽의 팥붕! 슈붕!,"custard, redbean","['earlgrey', 'almond']"
1,둘세 데 레체,"caramel, milk","['pistachio', 'banana']"
2,나는 딸기치오,"pistachio, strawberry","['caramel', 'montblanc']"
3,엄마는 외계인,"chocolate, vanilla","['banana', 'fig']"
4,아몬드 봉봉,"almond, chocolate, vanilla","['pistachio', 'banana', 'fig']"
5,뉴욕치즈케이크,"hwangcheese, vanilla","['hazelnut', 'fig']"
6,핑크 베리 하츄핑,"milk, raspberry, strawberry","['banana', 'banana', 'montblanc']"
7,레인보우 샤베트,"orange, pineapple, raspberry","['avocado', 'apple', 'banana']"
8,슈팅스타,"blueberry, cherry, vanilla","['salty', 'oreo', 'fig']"
9,사랑에 빠진 딸기,"chocolate, hwangcheese, strawberry, vanilla","['banana', 'hazelnut', 'montblanc', 'fig']"
10,오레오 쿠키 앤 크림,"oreo, vanilla","['cherry', 'fig']"
11,31 요거트,yogurt,['lemon']
12,바람과 함께 사라지다,"blueberry, strawberry, vanilla","['salty', 'montblanc', 'fig']"
13,바닐라,vanilla,['fig']
14,이상한 나라의 솜사탕,"cottoncandy, custard, milk","['earlgrey', 'earlgrey', 'banana']"
15,그린티,"matcha, milk","['chocolate', 'banana']"
16,치즈나무숲,"chocolate, hwangcheese, matcha","['banana', 'hazelnut', 'chocolate']"
17,초콜릿,chocolate,['banana']
18,자모카 아몬드 훠지,"almond, chocolate, mocha","['pistachio', 'banana', 'mugwort']"
19,마법사의 비밀 레시피,"chocolate, mint","['banana', 'vanilla']"
20,"초코, 우리 이제 헤이즐넛","chocolate, hazelnut","['banana', 'hwangcheese']"
21,민트 초콜릿칩,"chocolate, mint","['banana', 'vanilla']"
22,체리쥬빌레,"cherry, milk","['oreo', 'banana']"
23,베리베리스트로베리,"matcha, strawberry","['chocolate', 'montblanc']"
24,초코나무숲,"chocolate, matcha","['banana', 'chocolate']"
25,피스타치오 아몬드,"almond, matcha, pistachio","['pistachio', 'chocolate', 'caramel']"
26,알폰소망고,"mango, milk","['strawberry', 'banana']"
27,쫀떡궁합,"blacksesame, injeolmi, pecan","['apple', 'redbean', 'carrot']"
28,밤이 옥수로 맛있구마,"corn, montblanc, sweetpotato","['pecan', 'strawberry', 'pistachio']"
29,아빠는 딸바봉,"strawberry, vanilla","['montblanc', 'fig']"
30,피카피카피카츄,"banana, chocolate, custard","['raspberry', 'banana', 'earlgrey']"
